link,link-href,text,1
Military technology,https://en.wikipedia.org/wiki/Military_technology,"Humans enter the Bronze Age as they learn to smelt copper into an alloy with tin to make weapons. In Asia where copper-tin ores be rare, this development be delay until trading in bronze begin in the third millennium BCE. In the Middle East and Southern European regions, the Bronze Age follow the Neolithic period, but in other parts of the world, the Copper Age be a transition from Neolithic to the Bronze Age. Although the Iron Age generally follow the Bronze Age, in some areas the Iron Age intrude directly on the Neolithic from outside the region, with the exception of Sub-Saharan Africa where it be develop independently.[ 3]",0
Medieval,https://en.wikipedia.org/wiki/Medieval_philosophy,"Writers in this area include Saint Augustine, Duns Scotus, Nicholas of Autrecourt, Thomas Aquinas, and William of Ockham.",0
Psychology,https://en.wikipedia.org/wiki/History_of_psychology,"The rise of computer technology also promoted the metaphor of mental function as information processing. This, combined with a scientific approach to studying the mind, as well as a belief in internal mental states, led to the rise of cognitivism as the dominant model of the mind.",1
Age of Discovery,https://en.wikipedia.org/wiki/Age_of_Discovery,"Pizarro's third and final expedition leave Panama for Peru on 27 December 1530. With three ships and one hundred and eighty men they land near Ecuador and sail to Tumbes, find the place destroy. They enter the interior and establish the first Spanish settlement in Peru, San Miguel de Piura. One of the men return with an Incan envoy and an invitation for a meeting. Since the last meeting, the Inca have begin a civil war and Atahualpa have be rest in northern Peru follow the defeat of his brother Huáscar. After march for two months, they approach Atahualpa. He refuse the Spanish, however, say he would `` be no man's tributary.'' There be fewer than 200 Spanish to his 80,000 soldiers, but Pizarro attack and win the Incan army in the Battle of Cajamarca, take Atahualpa captive at the so-called ransom room. Despite fulfil his promise of fill one room with gold and two with silver, he be convict for kill his brother and plot against Pizarro, and be execute.",0
Historiography,https://en.wikipedia.org/wiki/Historiography_of_science,"From the 1940s through the early 1960s, most histories of science be different forms of a `` march of progress''[ citation need], show science as a triumphant movement towards truth. Many philosophers and historians do of course paint a more nuanced picture, but it be not until the publication of Thomas Kuhn's The Structure of Scientific Revolutions that this approach become seriously suspect as be mislead[ citation need]. Kuhn's argument that scientific revolutions work by paradigm shifts seem to imply that truth be not the ultimate criterion for science, and the book be extremely influential outside of academia as well[ citation need]. Corresponding with the rise of the environmentalism movement and a general loss of optimism of the power of science and technology unfettered to solve the problems of the world, this new history encourage many critics to pronounce the preeminence of science to be overthrow[ citation need].",0
Education,https://en.wikipedia.org/wiki/History_of_education,"Indigenous education was widespread in India in the 18th century, with a school for every temple, mosque or village in most regions of the country.[59] The subjects taught included Reading, Writing, Arithmetic, Theology, Law, Astronomy, Metaphysics, Ethics, Medical Science and Religion. The schools were attended by students representative of all classes of society.[60]",1
History of the Middle East,https://en.wikipedia.org/wiki/History_of_the_Middle_East,"Saddam Hussein lead Iraq into a prolonged and very costly war with Iran in the 1980s, and then into its fateful invasion of Kuwait in 1990. Kuwait have be part of the Ottoman province of Basra before 1918, and thus in a sense part of Iraq, but Iraq have recognize its independence in the 1960s. The U.S. respond to the invasion by form a coalition of allies that include Saudi Arabia, Egypt and Syria, gain approval from the United Nations and then evict Iraq from Kuwait by force in the Persian Gulf War. President George H. W. Bush do not, however, attempt to overthrow Saddam Hussein's regime, something the U.S. later come to regret.[ citation need] The Persian Gulf War and its aftermath bring about a permanent U.S. military presence in the Persian Gulf region, particularly in Saudi Arabia, which offend many Muslims, and be a reason often cite by Osama bin Laden as justification for the September 11 attacks.",0
History of Mesoamerica,https://en.wikipedia.org/wiki/Mesoamerican_chronology,"Arguably, the Post-Classic continued until the conquest of the last independent native state of Mesoamerica, Tayasal, in 1697.",0
Communication,https://en.wikipedia.org/wiki/History_of_communication,"The first pure alphabets( properly, `` abjads'', map single symbols to single phonemes, but not necessarily each phoneme to a symbol) emerge around 2000 BC in Ancient Egypt, but by then alphabetic principles have already be incorporate into Egyptian hieroglyphs for a millennium( see Middle Bronze Age alphabets).",0
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"Seventeen years after Cook's landfall on the east coast of Australia, the British government decide to establish a colony at Botany Bay. The American Revolutionary War( 1775–1783) saw Britain lose most of its North American colonies and consider establish replacement territories. In 1779 Sir Joseph Banks, the eminent scientist who have accompany James Cook on his 1770 voyage, recommend Botany Bay as a suitable site for settlement, say that `` it be not to be doubt that a Tract of Land such as New Holland, which be larger than the whole of Europe, would furnish Matter of advantageous Return. ``[ 103] Under Banks' guidance, the American Loyalist James Matra, who have also travel with Cook, produce `` A Proposal for Establishing a Settlement in New South Wales''( 23 August 1783), propose the establishment of a colony compose of American Loyalists, Chinese and South Sea Islanders( but not convicts).[ 104]",0
Agriculture,https://en.wikipedia.org/wiki/History_of_agriculture,"Between the 16th century and the mid-19th century, Britain saw a large increase in agricultural productivity and net output. New agricultural practices like enclosure, mechanization, four-field crop rotation to maintain soil nutrients, and selective breeding enabled an unprecedented population growth to 5.7 million in 1750, freeing up a significant percentage of the workforce, and thereby helped drive the Industrial Revolution. The productivity of wheat went up from about 19 bushels per acre in 1720 to around 30 bushels by 1840, marking a major turning point in history.[103]",1
In the Middle Ages,https://en.wikipedia.org/wiki/Science_in_the_Middle_Ages,"In mathematics, the mathematician Muhammad ibn Musa al-Khwarizmi give his name to the concept of the algorithm, while the term algebra be derive from al-jabr, the beginning of the title of one of his publications. What be now know as Arabic numerals originally come from India, but Muslim mathematicians do make several refinements to the number system, such as the introduction of decimal point notation. Mathematician Al-Battani( 850-929) contribute to astronomy and mathematics, while scholar Al-Razi contribute to chemistry and medicine.",0
Oceania,https://en.wikipedia.org/wiki/History_of_Oceania,"Later, in the quest for Terra Australis, Spanish explorers in the 17th century discovered the Pitcairn and Vanuatu archipelagos, and sailed the Torres Strait between Australia and New Guinea, named after navigator Luís Vaz de Torres. In 1668 the Spanish founded a colony on Guam as a resting place for west-bound galleons. For a long time this was the only non-coastal European settlement in the Pacific.",1
Middle Ages,https://en.wikipedia.org/wiki/Middle_Ages,"Roman city life and culture change greatly in the early Middle Ages. Although Italian cities remain inhabited, they contract significantly in size. Rome, for instance, shrank from a population of hundreds of thousands to around 30,000 by the end of the 6th century. Roman temples be convert into Christian churches and city walls remain in use.[ 75] In Northern Europe, cities also shrink, while civic monuments and other public buildings be raid for building materials. The establishment of new kingdoms often mean some growth for the towns choose as capitals.[ 76] Although there have be Jewish communities in many Roman cities, the Jews suffer periods of persecution after the conversion of the empire to Christianity. Officially they be tolerate, if subject to conversion efforts, and at times be even encourage to settle in new areas.[ 77]",0
Mathematics,https://en.wikipedia.org/wiki/History_of_mathematics,"During the Renaissance, the development of mathematics and of accounting were intertwined.[133] While there is no direct relationship between algebra and accounting, the teaching of the subjects and the books published often intended for the children of merchants who were sent to reckoning schools (in Flanders and Germany) or abacus schools (known as abbaco in Italy), where they learned the skills useful for trade and commerce. There is probably no need for algebra in performing bookkeeping operations, but for complex bartering operations or the calculation of compound interest, a basic knowledge of arithmetic was mandatory and knowledge of algebra was very useful.",1
Bronze Age,https://en.wikipedia.org/wiki/Bronze_Age,"The Apennine culture (also called Italian Bronze Age) is a technology complex of central and southern Italy spanning the Chalcolithic and Bronze Age proper. The Camuni were an ancient people of uncertain origin (according to Pliny the Elder, they were Euganei; according to Strabo, they were Rhaetians) who lived in Val Camonica – in what is now northern Lombardy – during the Iron Age, although human groups of hunters, shepherds and farmers are known to have lived in the area since the Neolithic.",1
In Classical Antiquity,https://en.wikipedia.org/wiki/History_of_science_in_Classical_Antiquity,"Aristotle (384–322 BC) disagreed with his teacher, Plato, in several important respects. While Aristotle agreed that truth must be eternal and unchanging, he maintained that we come to know the truth through the external world which we perceive with our senses. For Aristotle, directly observable things are real; ideas (or as he called them, forms) only exist as they express themselves in matter, such as in living things, or in the mind of an observer or artisan.[17]",1
Middle Ages,https://en.wikipedia.org/wiki/Middle_Ages,"The Late Middle Ages be mark by difficulties and calamities include famine, plague, and war, which significantly diminish the population of Europe; between 1347 and 1350, the Black Death kill about a third of Europeans. Controversy, heresy, and the Western Schism within the Catholic Church parallel the interstate conflict, civil strife, and peasant revolts that occur in the kingdoms. Cultural and technological developments transform European society, conclude the Late Middle Ages and begin the early modern period.",0
Psychology,https://en.wikipedia.org/wiki/History_of_psychology,"The terms ""structure"" and ""organization"" were focal for the Gestalt psychologists. Stimuli were said to have a certain structure, to be organized in a certain way, and that it is to this structural organization, rather than to individual sensory elements, that the organism responds. When an animal is conditioned, it does not simply respond to the absolute properties of a stimulus, but to its properties relative to its surroundings. To use a favorite example of Köhler's, if conditioned to respond in a certain way to the lighter of two gray cards, the animal generalizes the relation between the two stimuli rather than the absolute properties of the conditioned stimulus: it will respond to the lighter of two cards in subsequent trials even if the darker card in the test trial is of the same intensity as the lighter one in the original training trials.",1
Economics,https://en.wikipedia.org/wiki/History_of_economic_thought,"After World War II, Canadian-born John Kenneth Galbraith( 1908–2006) become one of the standard bearers for pro-active government and liberal-democrat politics. In The Affluent Society( 1958), Galbraith argue that voters reach a certain material wealth begin to vote against the common good. He also argue that the `` conventional wisdom'' of the conservative consensus be not enough to solve the problems of social inequality.[ 106] In an age of big business, he argue, it be unrealistic to think of markets of the classical kind. They set prices and use advertising to create artificial demand for their own products, distort people's real preferences. Consumer preferences actually come to reflect those of corporations – a `` dependence effect'' – and the economy as a whole be gear to irrational goals.[ 107] In The New Industrial State Galbraith argue that economic decisions be plan by a private-bureaucracy, a technostructure of experts who manipulate marketing and public relations channels. This hierarchy be self-serving, profits be no longer the prime motivator, and even managers be not in control. Because they be the new planners, corporations detest risk, require steady economic and stable markets. They recruit governments to serve their interests with fiscal and monetary policy, for instance adhere to monetarist policies which enrich money-lenders in the City through increases in interest rates. While the goals of an affluent society and complicit government serve the irrational technostructure, public space be simultaneously impoverish. Galbraith paint the picture of step from penthouse villas onto unpaved streets, from landscape gardens to unkempt public parks. In Economics and the Public Purpose( 1973) Galbraith advocate a `` new socialism'' as the solution, nationalise military production and public services such as health care, introduce discipline salary and price controls to reduce inequality.[ 108]",0
Film,https://en.wikipedia.org/wiki/History_of_film,"Recently there has been a revival in 3D film popularity the first being James Cameron's Ghosts of the Abyss which was released as the first full-length 3-D IMAX feature filmed with the Reality Camera System. This camera system used the latest HD video cameras, not film, and was built for Cameron by Emmy nominated Director of Photography Vince Pace, to his specifications. The same camera system was used to film Spy Kids 3D: Game Over (2003), Aliens of the Deep IMAX (2005), and The Adventures of Sharkboy and Lavagirl in 3-D (2005).",1
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"From the mid-7th century, the Arab slave trade saw Muslim Arabs enslave Africans follow an armistice between the Rashidun Caliphate and the Kingdom of Makuria after the Second Battle of Dongola in 652 CE. They be transport, along with Asians and Europeans, across the Red Sea, Indian Ocean, and Sahara Desert.",0
History of China,https://en.wikipedia.org/wiki/History_of_China,"Major military campaigns be launch to weaken the nomadic Xiongnu Empire, limit their influence north of the Great Wall. Along with the diplomatic efforts lead by Zhang Qian, the sphere of influence of the Han Empire extend to the states in the Tarim Basin, open up the Silk Road that connect China to the west, stimulate bilateral trade and cultural exchange. To the south, various small kingdoms far beyond the Yangtze River Valley be formally incorporate into the empire.",0
Economics,https://en.wikipedia.org/wiki/History_of_economic_thought,"David Hume( 1711–1776) agree with North's philosophy and denounced mercantilist assumptions. His contributions be set down in Political Discourses( 1752), and later consolidate in his Essays, Moral, Political, Literary( 1777). Adding to the argument that it be undesirable to strive for a favourable balance of trade, Hume argue that it be, in any case, impossible.",0
Physics,https://en.wikipedia.org/wiki/History_of_physics,"Elements of what become physics be draw primarily from the fields of astronomy, optics, and mechanics, which be methodologically unite through the study of geometry. These mathematical disciplines begin in antiquity with the Babylonians and with Hellenistic writers such as Archimedes and Ptolemy. Ancient philosophy, meanwhile – include what be call `` physics'' – focus on explain nature through ideas such as Aristotle's four types of `` cause''.",0
