link,link-href,text
"Military technology","https://en.wikipedia.org/wiki/Military_technology","Humans entered the Bronze Age as they learned to smelt copper into an alloy with tin to make weapons. In Asia where copper-tin ores are rare, this development was delayed until trading in bronze began in the third millennium BCE. In the Middle East and Southern European regions, the Bronze Age follows the Neolithic period, but in other parts of the world, the Copper Age is a transition from Neolithic to the Bronze Age. Although the Iron Age generally follows the Bronze Age, in some areas the Iron Age intrudes directly on the Neolithic from outside the region, with the exception of Sub-Saharan Africa where it was developed independently.[3]"
"Medieval","https://en.wikipedia.org/wiki/Medieval_philosophy","Writers in this area include Saint Augustine, Duns Scotus, Nicholas of Autrecourt, Thomas Aquinas, and William of Ockham."
"Psychology","https://en.wikipedia.org/wiki/History_of_psychology","The rise of computer technology also promoted the metaphor of mental function as information processing. This, combined with a scientific approach to studying the mind, as well as a belief in internal mental states, led to the rise of cognitivism as the dominant model of the mind."
"Age of Discovery","https://en.wikipedia.org/wiki/Age_of_Discovery","Pizarro's third and final expedition left Panama for Peru on 27 December 1530. With three ships and one hundred and eighty men they landed near Ecuador and sailed to Tumbes, finding the place destroyed. They entered the interior and established the first Spanish settlement in Peru, San Miguel de Piura. One of the men returned with an Incan envoy and an invitation for a meeting. Since the last meeting, the Inca had begun a civil war and Atahualpa had been resting in northern Peru following the defeat of his brother Huáscar. After marching for two months, they approached Atahualpa. He refused the Spanish, however, saying he would ""be no man's tributary."" There were fewer than 200 Spanish to his 80,000 soldiers, but Pizarro attacked and won the Incan army in the Battle of Cajamarca, taking Atahualpa captive at the so-called ransom room. Despite fulfilling his promise of filling one room with gold and two with silver, he was convicted for killing his brother and plotting against Pizarro, and was executed."
"Historiography","https://en.wikipedia.org/wiki/Historiography_of_science","From the 1940s through the early 1960s, most histories of science were different forms of a ""march of progress""[citation needed], showing science as a triumphant movement towards truth. Many philosophers and historians did of course paint a more nuanced picture, but it was not until the publication of Thomas Kuhn's The Structure of Scientific Revolutions that this approach became seriously suspected as being misleading[citation needed]. Kuhn's argument that scientific revolutions worked by paradigm shifts seemed to imply that truth was not the ultimate criterion for science, and the book was extremely influential outside of academia as well[citation needed]. Corresponding with the rise of the environmentalism movement and a general loss of optimism of the power of science and technology unfettered to solve the problems of the world, this new history encouraged many critics to pronounce the preeminence of science to be overthrown[citation needed]."
"Education","https://en.wikipedia.org/wiki/History_of_education","Indigenous education was widespread in India in the 18th century, with a school for every temple, mosque or village in most regions of the country.[59] The subjects taught included Reading, Writing, Arithmetic, Theology, Law, Astronomy, Metaphysics, Ethics, Medical Science and Religion. The schools were attended by students representative of all classes of society.[60]"
"History of the Middle East","https://en.wikipedia.org/wiki/History_of_the_Middle_East","Saddam Hussein led Iraq into a prolonged and very costly war with Iran in the 1980s, and then into its fateful invasion of Kuwait in 1990. Kuwait had been part of the Ottoman province of Basra before 1918, and thus in a sense part of Iraq, but Iraq had recognized its independence in the 1960s. The U.S. responded to the invasion by forming a coalition of allies that included Saudi Arabia, Egypt and Syria, gaining approval from the United Nations and then evicting Iraq from Kuwait by force in the Persian Gulf War. President George H. W. Bush did not, however, attempt to overthrow Saddam Hussein's regime, something the U.S. later came to regret.[citation needed] The Persian Gulf War and its aftermath brought about a permanent U.S. military presence in the Persian Gulf region, particularly in Saudi Arabia, which offended many Muslims, and was a reason often cited by Osama bin Laden as justification for the September 11 attacks."
"History of Mesoamerica","https://en.wikipedia.org/wiki/Mesoamerican_chronology","Arguably, the Post-Classic continued until the conquest of the last independent native state of Mesoamerica, Tayasal, in 1697."
"Communication","https://en.wikipedia.org/wiki/History_of_communication","The first pure alphabets (properly, ""abjads"", mapping single symbols to single phonemes, but not necessarily each phoneme to a symbol) emerged around 2000 BC in Ancient Egypt, but by then alphabetic principles had already been incorporated into Egyptian hieroglyphs for a millennium (see Middle Bronze Age alphabets)."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","Seventeen years after Cook's landfall on the east coast of Australia, the British government decided to establish a colony at Botany Bay. The American Revolutionary War (1775–1783) saw Britain lose most of its North American colonies and consider establishing replacement territories. In 1779 Sir Joseph Banks, the eminent scientist who had accompanied James Cook on his 1770 voyage, recommended Botany Bay as a suitable site for settlement, saying that ""it was not to be doubted that a Tract of Land such as New Holland, which was larger than the whole of Europe, would furnish Matter of advantageous Return.""[103] Under Banks' guidance, the American Loyalist James Matra, who had also travelled with Cook, produced ""A Proposal for Establishing a Settlement in New South Wales"" (23 August 1783), proposing the establishment of a colony composed of American Loyalists, Chinese and South Sea Islanders (but not convicts).[104]"
