Military technology,https://en.wikipedia.org/wiki/Military_technology,"Humans entered the Bronze Age as they learned to smelt copper into an alloy with tin to make weapons. In Asia where copper-tin ores are rare, this development was delayed until trading in bronze began in the third millennium BCE. In the Middle East and Southern European regions, the Bronze Age follows the Neolithic period, but in other parts of the world, the Copper Age is a transition from Neolithic to the Bronze Age. Although the Iron Age generally follows the Bronze Age, in some areas the Iron Age intrudes directly on the Neolithic from outside the region, with the exception of Sub-Saharan Africa where it was developed independently.[3]",1
Medieval,https://en.wikipedia.org/wiki/Medieval_philosophy,"Writers in this area include Saint Augustine, Duns Scotus, Nicholas of Autrecourt, Thomas Aquinas, and William of Ockham.",1
Psychology,https://en.wikipedia.org/wiki/History_of_psychology,"The rise of computer technology also promote the metaphor of mental function as information processing. This, combine with a scientific approach to study the mind, as well as a belief in internal mental states, lead to the rise of cognitivism as the dominant model of the mind.",0
Age of Discovery,https://en.wikipedia.org/wiki/Age_of_Discovery,"Pizarro's third and final expedition leave Panama for Peru on 27 December 1530. With three ships and one hundred and eighty men they land near Ecuador and sail to Tumbes, find the place destroy. They enter the interior and establish the first Spanish settlement in Peru, San Miguel de Piura. One of the men return with an Incan envoy and an invitation for a meeting. Since the last meeting, the Inca have begin a civil war and Atahualpa have be rest in northern Peru follow the defeat of his brother Huáscar. After march for two months, they approach Atahualpa. He refuse the Spanish, however, say he would `` be no man's tributary.'' There be fewer than 200 Spanish to his 80,000 soldiers, but Pizarro attack and win the Incan army in the Battle of Cajamarca, take Atahualpa captive at the so-called ransom room. Despite fulfil his promise of fill one room with gold and two with silver, he be convict for kill his brother and plot against Pizarro, and be execute.",0
Historiography,https://en.wikipedia.org/wiki/Historiography_of_science,"From the 1940s through the early 1960s, most histories of science were different forms of a ""march of progress""[citation needed], showing science as a triumphant movement towards truth. Many philosophers and historians did of course paint a more nuanced picture, but it was not until the publication of Thomas Kuhn's The Structure of Scientific Revolutions that this approach became seriously suspected as being misleading[citation needed]. Kuhn's argument that scientific revolutions worked by paradigm shifts seemed to imply that truth was not the ultimate criterion for science, and the book was extremely influential outside of academia as well[citation needed]. Corresponding with the rise of the environmentalism movement and a general loss of optimism of the power of science and technology unfettered to solve the problems of the world, this new history encouraged many critics to pronounce the preeminence of science to be overthrown[citation needed].",1
Education,https://en.wikipedia.org/wiki/History_of_education,"Indigenous education was widespread in India in the 18th century, with a school for every temple, mosque or village in most regions of the country.[59] The subjects taught included Reading, Writing, Arithmetic, Theology, Law, Astronomy, Metaphysics, Ethics, Medical Science and Religion. The schools were attended by students representative of all classes of society.[60]",1
History of the Middle East,https://en.wikipedia.org/wiki/History_of_the_Middle_East,"Saddam Hussein led Iraq into a prolonged and very costly war with Iran in the 1980s, and then into its fateful invasion of Kuwait in 1990. Kuwait had been part of the Ottoman province of Basra before 1918, and thus in a sense part of Iraq, but Iraq had recognized its independence in the 1960s. The U.S. responded to the invasion by forming a coalition of allies that included Saudi Arabia, Egypt and Syria, gaining approval from the United Nations and then evicting Iraq from Kuwait by force in the Persian Gulf War. President George H. W. Bush did not, however, attempt to overthrow Saddam Hussein's regime, something the U.S. later came to regret.[citation needed] The Persian Gulf War and its aftermath brought about a permanent U.S. military presence in the Persian Gulf region, particularly in Saudi Arabia, which offended many Muslims, and was a reason often cited by Osama bin Laden as justification for the September 11 attacks.",1
History of Mesoamerica,https://en.wikipedia.org/wiki/Mesoamerican_chronology,"Arguably, the Post-Classic continued until the conquest of the last independent native state of Mesoamerica, Tayasal, in 1697.",0
Communication,https://en.wikipedia.org/wiki/History_of_communication,"The first pure alphabets (properly, ""abjads"", mapping single symbols to single phonemes, but not necessarily each phoneme to a symbol) emerged around 2000 BC in Ancient Egypt, but by then alphabetic principles had already been incorporated into Egyptian hieroglyphs for a millennium (see Middle Bronze Age alphabets).",1
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"Seventeen years after Cook's landfall on the east coast of Australia, the British government decide to establish a colony at Botany Bay. The American Revolutionary War( 1775–1783) saw Britain lose most of its North American colonies and consider establish replacement territories. In 1779 Sir Joseph Banks, the eminent scientist who have accompany James Cook on his 1770 voyage, recommend Botany Bay as a suitable site for settlement, say that `` it be not to be doubt that a Tract of Land such as New Holland, which be larger than the whole of Europe, would furnish Matter of advantageous Return. ``[ 103] Under Banks' guidance, the American Loyalist James Matra, who have also travel with Cook, produce `` A Proposal for Establishing a Settlement in New South Wales''( 23 August 1783), propose the establishment of a colony compose of American Loyalists, Chinese and South Sea Islanders( but not convicts).[ 104]",0
Agriculture,https://en.wikipedia.org/wiki/History_of_agriculture,"Between the 16th century and the mid-19th century, Britain saw a large increase in agricultural productivity and net output. New agricultural practices like enclosure, mechanization, four-field crop rotation to maintain soil nutrients, and selective breeding enable an unprecedented population growth to 5.7 million in 1750, free up a significant percentage of the workforce, and thereby help drive the Industrial Revolution. The productivity of wheat go up from about 19 bushels per acre in 1720 to around 30 bushels by 1840, mark a major turn point in history.[ 103]",0
In the Middle Ages,https://en.wikipedia.org/wiki/Science_in_the_Middle_Ages,"In mathematics, the mathematician Muhammad ibn Musa al-Khwarizmi gave his name to the concept of the algorithm, while the term algebra is derived from al-jabr, the beginning of the title of one of his publications. What is now known as Arabic numerals originally came from India, but Muslim mathematicians did make several refinements to the number system, such as the introduction of decimal point notation. Mathematician Al-Battani (850-929) contributed to astronomy and mathematics, while scholar Al-Razi contributed to chemistry and medicine.",1
Oceania,https://en.wikipedia.org/wiki/History_of_Oceania,"Later, in the quest for Terra Australis, Spanish explorers in the 17th century discover the Pitcairn and Vanuatu archipelagos, and sail the Torres Strait between Australia and New Guinea, name after navigator Luís Vaz de Torres. In 1668 the Spanish found a colony on Guam as a rest place for west-bound galleons. For a long time this be the only non-coastal European settlement in the Pacific.",0
Middle Ages,https://en.wikipedia.org/wiki/Middle_Ages,"Roman city life and culture change greatly in the early Middle Ages. Although Italian cities remain inhabited, they contract significantly in size. Rome, for instance, shrank from a population of hundreds of thousands to around 30,000 by the end of the 6th century. Roman temples be convert into Christian churches and city walls remain in use.[ 75] In Northern Europe, cities also shrink, while civic monuments and other public buildings be raid for building materials. The establishment of new kingdoms often mean some growth for the towns choose as capitals.[ 76] Although there have be Jewish communities in many Roman cities, the Jews suffer periods of persecution after the conversion of the empire to Christianity. Officially they be tolerate, if subject to conversion efforts, and at times be even encourage to settle in new areas.[ 77]",0
Mathematics,https://en.wikipedia.org/wiki/History_of_mathematics,"During the Renaissance, the development of mathematics and of accounting be intertwine.[ 133] While there be no direct relationship between algebra and accounting, the teaching of the subjects and the books publish often intend for the children of merchants who be send to reckon schools( in Flanders and Germany) or abacus schools( know as abbaco in Italy), where they learn the skills useful for trade and commerce. There be probably no need for algebra in perform bookkeeping operations, but for complex bartering operations or the calculation of compound interest, a basic knowledge of arithmetic be mandatory and knowledge of algebra be very useful.",0
Bronze Age,https://en.wikipedia.org/wiki/Bronze_Age,"The Apennine culture( also call Italian Bronze Age) be a technology complex of central and southern Italy span the Chalcolithic and Bronze Age proper. The Camuni be an ancient people of uncertain origin( accord to Pliny the Elder, they be Euganei; accord to Strabo, they be Rhaetians) who live in Val Camonica – in what be now northern Lombardy – during the Iron Age, although human groups of hunters, shepherds and farmers be know to have live in the area since the Neolithic.",0
In Classical Antiquity,https://en.wikipedia.org/wiki/History_of_science_in_Classical_Antiquity,"Aristotle( 384–322 BC) disagree with his teacher, Plato, in several important respects. While Aristotle agree that truth must be eternal and unchanging, he maintain that we come to know the truth through the external world which we perceive with our senses. For Aristotle, directly observable things be real; ideas( or as he call them, forms) only exist as they express themselves in matter, such as in living things, or in the mind of an observer or artisan.[ 17]",0
Middle Ages,https://en.wikipedia.org/wiki/Middle_Ages,"The Late Middle Ages was marked by difficulties and calamities including famine, plague, and war, which significantly diminished the population of Europe; between 1347 and 1350, the Black Death killed about a third of Europeans. Controversy, heresy, and the Western Schism within the Catholic Church paralleled the interstate conflict, civil strife, and peasant revolts that occurred in the kingdoms. Cultural and technological developments transformed European society, concluding the Late Middle Ages and beginning the early modern period.",1
